Ingresos_Mensuales,Edad,Score_Credito,Deudas_Mensuales,Credito_Aprobado
34947.43,53,845,1084.84,1
29736.82,39,425,4242.62,0
23857.38,27,635,3523.96,0
21921.32,42,460,23676.81,0
22073.79,24,685,4779.04,0
75183.43,57,505,6378.24,0
20912.27,36,832,3635.87,1
39751.48,64,586,7550.86,1
42371.02,43,581,10627.64,0
27056.96,28,423,13631.0,0
75101.77,48,454,1760.51,1
26575.09,48,423,15673.16,0
43850.06,50,634,6445.68,0
23029.03,55,776,298.75,1
51613.69,54,799,15242.18,1
41316.02,30,453,2940.31,0
55492.17,46,614,23324.2,0
43095.71,43,550,3618.15,1
29352.92,54,553,11111.9,0
23302.57,57,723,1470.36,1
52544.76,65,467,23886.79,0
61047.45,62,565,7434.55,0
37939.9,64,763,3242.33,1
46277.36,49,813,77.12,1
32273.5,25,502,1863.48,0
42992.25,56,416,2665.38,0
43007.99,57,842,1523.99,1
30440.56,40,754,6552.68,0
52812.25,57,427,78.3,0
48374.92,50,824,1533.6,1
42325.29,59,679,8046.78,1
41003.38,50,490,24609.42,0
29197.09,32,699,11225.37,1
25544.98,24,478,15839.12,0
54082.67,64,554,4046.55,0
23941.03,42,669,1490.48,1
21337.2,48,678,4620.64,1
28313.65,43,569,2685.21,0
48013.76,57,821,8369.2,1
24845.68,37,728,5706.86,1
53884.77,56,770,1994.65,1
47346.12,54,628,4002.59,1
39647.56,27,449,1099.17,0
35523.47,26,507,6658.07,0
50932.96,28,505,4629.95,0
41322.8,51,767,2418.25,1
37655.72,36,532,3141.77,0
32013.24,46,744,755.46,1
39939.28,59,423,7241.5,0
44410.37,27,544,8696.02,0
29049.25,52,480,4574.57,0
25550.38,56,551,19333.43,0
67813.27,45,405,4838.22,0
39313.67,27,556,1414.74,0
41195.37,63,835,4311.44,1
28012.08,58,836,335.54,1
38094.15,64,434,1731.6,0
98084.35,44,465,6675.58,1
30374.34,34,562,3991.57,0
47483.69,31,689,5020.19,1
21350.36,63,623,1943.42,1
40751.78,52,636,3536.59,0
34435.83,63,710,513.18,1
18605.26,62,439,7799.06,0
62023.34,59,696,3116.52,1
60369.29,56,676,3833.14,1
31408.74,59,775,11676.36,1
34757.83,45,657,63.89,1
55036.0,30,628,1040.57,1
47334.66,31,776,7900.71,0
28150.58,36,421,6626.31,0
46227.17,51,423,244.34,0
38730.54,38,696,4716.18,1
40106.67,63,827,486.2,1
25878.41,44,649,9440.3,0
33182.02,54,729,1977.77,1
21468.47,29,738,1570.89,1
44795.44,52,645,1419.68,1
19256.55,32,468,5958.07,0
36336.19,38,492,4361.97,0
23137.64,52,844,3942.84,1
32683.0,59,820,8752.94,1
34998.68,65,575,15333.41,0
23474.96,30,455,100.21,0
57468.56,33,643,13912.79,0
56699.89,29,447,3949.47,0
49876.87,65,732,3388.49,1
74611.01,49,517,16724.67,0
44492.47,58,450,3325.42,0
19604.17,56,609,1788.86,1
35705.84,46,735,1379.64,1
32722.13,49,733,5282.22,1
36473.85,61,541,28820.76,0
23883.33,57,647,1181.34,1
16274.1,58,576,8928.49,0
26176.27,32,451,1448.29,0
28232.69,65,761,320.74,1
52887.64,31,641,15610.95,0
25244.21,27,711,230.92,1
36256.45,60,429,17481.14,0
40298.47,34,835,6418.12,1
39236.14,36,714,1114.24,1
45001.84,47,607,5292.5,0
40403.24,27,681,2008.59,1
51020.8,39,515,5593.96,0
64496.33,38,489,3136.73,1
24618.41,29,811,4320.48,1
38721.39,38,755,3508.65,1
